case,n_events_with,n_events_no_insurance,P10_with_insurance,P10_with_lower,P10_with_upper,P10_no_insurance,P10_no_lower,P10_no_upper,lambda_ratio_with_over_no,lambda_ratio_lower,lambda_ratio_upper
no_RA_short,9,28,0.006602572955859531,0.0027587996878140064,0.011567704940781631,0.024969701903064467,0.017122865681743593,0.03504603165382125,0.261973985825745,0.09613548328072839,0.5381844575158714
no_RA_intermidiate,22,51,0.017423917717295567,0.011192851294459127,0.024999128198860854,0.07604720176261781,0.05810678619990561,0.10011716006690274,0.222234755199619,0.13013402653814318,0.3579496971669763
no_RA_long,37,57,0.0396729739922862,0.027874887518069547,0.05541546217080773,0.14899389378351913,0.11338775192202621,0.1963426849639215,0.25091366271258014,0.15350693025899176,0.3998929590614718
